X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping Torremolinos,Calle Loma del Paraiso, 2, 29620 Torremolinos, Málaga,Torremolinos,Málaga,campingtorremolinos.com,952 38 26 02,36.646469,-4.4888154
0.0,0.000000026167978,Camping Sitges,Ctra 246a, 08870 Sitges, Barcelona,Sitges,Barcelona,campingsitges.com,938 94 10 80,"412,320,664",17,849
0.0,0.000000026167978,Camping Ber,Ber, 6, 15609 Pontedeume, C,Sambollo,C,campingber.es,981 43 85 00,"433,964,972",-8
0.0,0.000000026167978,Camping La Breña,Ctra. Palma del Río, km 26, 5, 14720, Córdoba,Almodóvar del Río,Córdoba,campingbreña.com,957 33 83 33,"378,399,359"
0.0,0.000000026167978,Camping Os Castros - Baroña,57, AC-550, 15979, C,Goltar,C,,660 71 13 44,"426,891,824",-90
0.0,0.000000026167978,Càmping Mas Patxet,"Carretera d&apos;Olot a Banyoles", 11, 17811 Santa Pau, Girona,Santa Pau,Girona,maspatxet.com,972 68 00 66,"421,504,538",25
0.0,0.000000026167978,Camping Olite,Ctra. NA 115 Km 2, 300, 31390 Olite,Olite,Olite,campingdeolite.com,948 74 10 14,"424,807,004",-16,778
0.0,0.000000026167978,Càmping Campalans,Ctra. de Sant Jaume de Frontanyà, Km. 1.5, 08619 Borredà, Barcelona,Borredá,Barcelona,campalans.net,938 23 91 63,"42,145,927",1
0.0,0.000000026167978,Camping Las Grullas,Camino Valdefuentes 4, 10185 Benquerencia, Cáceres,Benquerencia,Cáceres,campinglasgrullas.es,634 26 45 04,"39,296,264",-6,101
0.0,0.000000026167978,Camping Fuente del Botón,Camino Fuente del Botón, s/n, 42149 Navaleno, Soria,Navaleno,Soria,es-es.facebook.com,666 77 88 84,"418,363,712",-3
0.0,0.000000026167978,CAMPING MONFRAGUE BUNGALOWS,EX-208, km 9, 10680 Malpartida de Plasencia, Cáceres,Malpartida de Plasencia,Cáceres,campingmonfrague.es,927 45 92 33,"399,441,432",-60
